"name","type","year","month","session_order","talk_order","title","base_uri","mp3"
"Gerrit W. Gong","saturday-afternoon",2018,10,1,4,"Nuestra fogata de fe","/general-conference/2018/10/our-campfire-of-faith","https://media2.ldscdn.org/assets/general-conference/october-2018-general-conference/2018-10-2050-gerrit-w-gong-64k-spa.mp3"
"Paul B. Pieper","saturday-afternoon",2018,10,1,5,"Todos deben tomar sobre sí el nombre dado por el Padre","/general-conference/2018/10/all-must-take-upon-them-the-name-given-of-the-father","https://media2.ldscdn.org/assets/general-conference/october-2018-general-conference/2018-10-2060-paul-b-pieper-64k-spa.mp3"
"Dieter F. Uchtdorf","saturday-afternoon",2018,10,1,6,"Creer, amar, hacer","/general-conference/2018/10/believe-love-do","https://media2.ldscdn.org/assets/general-conference/october-2018-general-conference/2018-10-2070-dieter-f-uchtdorf-64k-spa.mp3"
"Joy D. Jones","women's",2018,10,2,0,"Por Él","/general-conference/2018/10/for-him","https://media2.ldscdn.org/assets/general-conference/october-2018-general-conference/2018-10-3010-joy-d-jones-64k-spa.mp3"
"Michelle D. Craig","women's",2018,10,2,1,"El descontento divino","/general-conference/2018/10/divine-discontent","https://media2.ldscdn.org/assets/general-conference/october-2018-general-conference/2018-10-3020-michelle-craig-64k-spa.mp3"
"Cristina B. Franco","women's",2018,10,2,2,"El gozo del servicio desinteresado","/general-conference/2018/10/the-joy-of-unselfish-service","https://media2.ldscdn.org/assets/general-conference/october-2018-general-conference/2018-10-3030-cristina-b-franco-64k-spa.mp3"
"Henry B. Eyring","women's",2018,10,2,3,"Las mujeres y el aprendizaje del Evangelio en el hogar","/general-conference/2018/10/women-and-gospel-learning-in-the-home","https://media2.ldscdn.org/assets/general-conference/october-2018-general-conference/2018-10-3040-henry-b-eyring-64k-spa.mp3"
"Dallin H. Oaks","women's",2018,10,2,4,"Padres e hijos","/general-conference/2018/10/parents-and-children","https://media2.ldscdn.org/assets/general-conference/october-2018-general-conference/2018-10-3050-dallin-h-oaks-64k-spa.mp3"
"Russell M. Nelson","women's",2018,10,2,5,"Participación de las hermanas en el recogimiento de Israel","/general-conference/2018/10/sisters-participation-in-the-gathering-of-israel","https://media2.ldscdn.org/assets/general-conference/october-2018-general-conference/2018-10-3060-russell-m-nelson-64k-spa.mp3"
"M. Russell Ballard","sunday-morning",2018,10,3,0,"La visión de la redención de los muertos","/general-conference/2018/10/the-vision-of-the-redemption-of-the-dead","https://media2.ldscdn.org/assets/general-conference/october-2018-general-conference/2018-10-4010-m-russell-ballard-64k-spa.mp3"
"Bonnie H. Cordon","sunday-morning",2018,10,3,1,"Llegar a ser un pastor","/general-conference/2018/10/becoming-a-shepherd","https://media2.ldscdn.org/assets/general-conference/october-2018-general-conference/2018-10-4020-bonnie-h-cordon-64k-spa.mp3"
"Jeffrey R. Holland","sunday-morning",2018,10,3,2,"El ministerio de la reconciliación","/general-conference/2018/10/the-ministry-of-reconciliation","https://media2.ldscdn.org/assets/general-conference/october-2018-general-conference/2018-10-4030-jeffrey-r-holland-64k-spa.mp3"
"Shayne M. Bowen","sunday-morning",2018,10,3,3,"La función del Libro de Mormón en la conversión","/general-conference/2018/10/the-role-of-the-book-of-mormon-in-conversion","https://media2.ldscdn.org/assets/general-conference/october-2018-general-conference/2018-10-4040-shayne-m-bowen-64k-spa.mp3"
"Neil L. Andersen","sunday-morning",2018,10,3,4,"Heridos","/general-conference/2018/10/wounded","https://media2.ldscdn.org/assets/general-conference/october-2018-general-conference/2018-10-4050-neil-l-andersen-64k-spa.mp3"
"Russell M. Nelson","sunday-morning",2018,10,3,5,"El nombre correcto de la Iglesia","/general-conference/2018/10/the-correct-name-of-the-church","https://media2.ldscdn.org/assets/general-conference/october-2018-general-conference/2018-10-4060-russell-m-nelson-64k-spa.mp3"
"Henry B. Eyring","sunday-afternoon",2018,10,4,0,"Trato, trato, trato","/general-conference/2018/10/try-try-try","https://media2.ldscdn.org/assets/general-conference/october-2018-general-conference/2018-10-5010-henry-b-eyring-64k-spa.mp3"
"Brian K. Ashton","sunday-afternoon",2018,10,4,1,"El Padre","/general-conference/2018/10/the-father","https://media2.ldscdn.org/assets/general-conference/october-2018-general-conference/2018-10-5020-brian-k-ashton-64k-spa.mp3"
"Robert C. Gay","sunday-afternoon",2018,10,4,2,"Tomar sobre nosotros el nombre de Jesucristo","/general-conference/2018/10/taking-upon-ourselves-the-name-of-jesus-christ","https://media2.ldscdn.org/assets/general-conference/october-2018-general-conference/2018-10-5030-robert-c-gay-64k-spa.mp3"
"Matthew L. Carpenter","sunday-afternoon",2018,10,4,3,"¿Quieres ser sano?","/general-conference/2018/10/wilt-thou-be-made-whole","https://media2.ldscdn.org/assets/general-conference/october-2018-general-conference/2018-10-5040-matthew-l-carpenter-64k-spa.mp3"
"Dale G. Renlund","sunday-afternoon",2018,10,4,4,"Escogeos hoy","/general-conference/2018/10/choose-you-this-day","https://media2.ldscdn.org/assets/general-conference/october-2018-general-conference/2018-10-5050-dale-g-renlund-64k-spa.mp3"
"Jack N. Gerard","sunday-afternoon",2018,10,4,5,"Éste es el momento","/general-conference/2018/10/now-is-the-time","https://media2.ldscdn.org/assets/general-conference/october-2018-general-conference/2018-10-5060-jack-n-gerard-64k-spa.mp3"
"Gary E. Stevenson","sunday-afternoon",2018,10,4,6,"Pastorear almas","/general-conference/2018/10/shepherding-souls","https://media2.ldscdn.org/assets/general-conference/october-2018-general-conference/2018-10-5070-gary-e-stevenson-64k-spa.mp3"
"Russell M. Nelson","sunday-afternoon",2018,10,4,7,"Cómo ser Santos de los Últimos Días ejemplares","/general-conference/2018/10/becoming-exemplary-latter-day-saints","https://media2.ldscdn.org/assets/general-conference/october-2018-general-conference/2018-10-5080-russell-m-nelson-64k-spa.mp3"
"Henry B. Eyring","saturday-morning",2018,4,0,0,"Asamblea solemne","/general-conference/2018/04/solemn-assembly","https://media2.ldscdn.org/assets/general-conference/april-2018-general-conference/2018-03-1010-solemn-assembly-64k-spa.mp3"
"M. Russell Ballard","saturday-morning",2018,4,0,1,"Los preciosos dones de Dios","/general-conference/2018/04/precious-gifts-from-god","https://media2.ldscdn.org/assets/general-conference/april-2018-general-conference/2018-03-1020-m-russell-ballard-64k-spa.mp3"
"Brian K. Taylor","saturday-morning",2018,4,0,2,"¿Soy un hijo de Dios?","/general-conference/2018/04/am-i-a-child-of-god","https://media2.ldscdn.org/assets/general-conference/april-2018-general-conference/2018-03-1030-brian-k-taylor-64k-spa.mp3"
"Larry J. Echo Hawk","saturday-morning",2018,4,0,3,"De la manera que Cristo os perdonó, así también hacedlo vosotros","/general-conference/2018/04/even-as-christ-forgives-you-so-also-do-ye","https://media2.ldscdn.org/assets/general-conference/april-2018-general-conference/2018-03-1040-larry-j-echo-hawk-64k-spa.mp3"
"Gary E. Stevenson","saturday-morning",2018,4,0,4,"El corazón de un Profeta","/general-conference/2018/04/the-heart-of-a-prophet","https://media2.ldscdn.org/assets/general-conference/april-2018-general-conference/2018-03-1050-gary-e-stevenson-64k-spa.mp3"
"Lynn G. Robbins","saturday-morning",2018,4,0,5,"Hasta setenta veces siete","/general-conference/2018/04/until-seventy-times-seven","https://media2.ldscdn.org/assets/general-conference/april-2018-general-conference/2018-03-1060-lynn-g-robbins-64k-spa.mp3"
"Neil L. Andersen","saturday-morning",2018,4,0,6,"El profeta de Dios","/general-conference/2018/04/the-prophet-of-god","https://media2.ldscdn.org/assets/general-conference/april-2018-general-conference/2018-03-1070-neil-l-andersen-64k-spa.mp3"
"David A. Bednar","saturday-afternoon",2018,4,1,2,"Mansos y humildes de corazón","/general-conference/2018/04/meek-and-lowly-of-heart","https://media2.ldscdn.org/assets/general-conference/april-2018-general-conference/2018-03-2030-david-a-bednar-64k-spa.mp3"
"Taylor G. Godoy","saturday-afternoon",2018,4,1,3,"Un día más","/general-conference/2018/04/one-more-day","https://media2.ldscdn.org/assets/general-conference/april-2018-general-conference/2018-03-2040-taylor-g-godoy-64k-spa.mp3"
"Bonnie L. Oscarson","saturday-afternoon",2018,4,1,4,"Mujeres Jóvenes en acción","/general-conference/2018/04/young-women-in-the-work","https://media2.ldscdn.org/assets/general-conference/april-2018-general-conference/2018-03-2050-bonnie-l-oscarson-64k-spa.mp3"
"Taniela B. Wakolo","saturday-afternoon",2018,4,1,5,"Las ordenanzas de salvación nos darán una luz maravillosa","/general-conference/2018/04/saving-ordinances-will-bring-us-marvelous-light","https://media2.ldscdn.org/assets/general-conference/april-2018-general-conference/2018-03-2060-taniela-b-wakolo-64k-spa.mp3"
"Devin G. Durrant","saturday-afternoon",2018,4,1,6,"La enseñanza en el hogar: Una responsabilidad sagrada y gozosa","/general-conference/2018/04/teaching-in-the-home-a-joyful-and-sacred-responsibility","https://media2.ldscdn.org/assets/general-conference/april-2018-general-conference/2018-03-2070-devin-g-durrant-64k-spa.mp3"
"Dale G. Renlund","saturday-afternoon",2018,4,1,7,"La obra del templo y de historia familiar: Sellamiento y sanación","/general-conference/2018/04/family-history-and-temple-work-sealing-and-healing","https://media2.ldscdn.org/assets/general-conference/april-2018-general-conference/2018-03-2080-dale-g-renlund-64k-spa.mp3"
"Douglas D. Holmes","priesthood",2018,4,2,0,"Lo que todo poseedor del Sacerdocio Aarónico debe entender","/general-conference/2018/04/what-every-aaronic-priesthood-holder-needs-to-understand","https://media2.ldscdn.org/assets/general-conference/april-2018-general-conference/2018-03-3010-douglas-d-holmes-64k-spa.mp3"
"Russell M. Nelson","priesthood",2018,4,2,1,"Comentarios de introducción","/general-conference/2018/04/introductory-remarks","https://media2.ldscdn.org/assets/general-conference/april-2018-general-conference/2018-03-3020-russell-m-nelson-64k-spa.mp3"
