"name","type","year","month","session_order","talk_order","title","base_uri","mp3"
"Julie B. Beck","saturday-morning",2010,4,0,2,"“E Também sobre os Servos e sobre as Servas Naqueles Dias Derramarei Meu Espírito”","/general-conference/2010/04/and-upon-the-handmaids-in-those-days-will-i-pour-out-my-spirit","https://media2.ldscdn.org/assets/general-conference/april-2010-general-conference/2010-04-1030-julie-b-beck-64k-por.mp3"
"Keith B. McMullin","saturday-morning",2010,4,0,3,"Nosso Caminho do Dever","/general-conference/2010/04/our-path-of-duty","https://media2.ldscdn.org/assets/general-conference/april-2010-general-conference/2010-04-1040-bishop-keith-b-mcmullin-64k-por.mp3"
"Wilford W. Andersen","saturday-morning",2010,4,0,4,"A Rocha de Nosso Redentor","/general-conference/2010/04/the-rock-of-our-redeemer","https://media2.ldscdn.org/assets/general-conference/april-2010-general-conference/2010-04-1050-elder-wilford-w-andersen-64k-por.mp3"
"M. Russell Ballard","saturday-morning",2010,4,0,5,"Mães e Filhas","/general-conference/2010/04/mothers-and-daughters","https://media2.ldscdn.org/assets/general-conference/april-2010-general-conference/2010-04-1060-elder-m-russell-ballard-64k-por.mp3"
"Henry B. Eyring","saturday-morning",2010,4,0,6,"Ajudá-los no Caminho para Casa","/general-conference/2010/04/help-them-on-their-way-home","https://media2.ldscdn.org/assets/general-conference/april-2010-general-conference/2010-04-1070-president-henry-b-eyring-64k-por.mp3"
"L. Tom Perry","saturday-afternoon",2010,4,1,3,"Mães Ensinam os Filhos em Casa","/general-conference/2010/04/mothers-teaching-children-in-the-home","https://media2.ldscdn.org/assets/general-conference/april-2010-general-conference/2010-04-2040-elder-l-tom-perry-64k-por.mp3"
"D. Todd Christofferson","saturday-afternoon",2010,4,1,4,"A Bênção das Escrituras","/general-conference/2010/04/the-blessing-of-scripture","https://media2.ldscdn.org/assets/general-conference/april-2010-general-conference/2010-04-2050-elder-d-todd-christofferson-64k-por.mp3"
"Koichi Aoyagi","saturday-afternoon",2010,4,1,5,"Mãos Que Ajudam, Mãos Que Salvam","/general-conference/2010/04/helping-hands-saving-hands","https://media2.ldscdn.org/assets/general-conference/april-2010-general-conference/2010-04-2060-elder-koichi-aoyagi-64k-por.mp3"
"Bruce A. Carlson","saturday-afternoon",2010,4,1,6,"Quando o Senhor Ordena","/general-conference/2010/04/when-the-lord-commands","https://media2.ldscdn.org/assets/general-conference/april-2010-general-conference/2010-04-2070-elder-bruce-a-carlson-64k-por.mp3"
"David A. Bednar","saturday-afternoon",2010,4,1,7,"Vigiar com Toda a Perseverança","/general-conference/2010/04/watching-with-all-perseverance","https://media2.ldscdn.org/assets/general-conference/april-2010-general-conference/2010-04-2080-elder-david-a-bednar-64k-por.mp3"
"Jeffrey R. Holland","saturday-afternoon",2010,4,1,8,"Não Dar Mais Lugar ao Inimigo de Minha Alma","/general-conference/2010/04/place-no-more-for-the-enemy-of-my-soul","https://media2.ldscdn.org/assets/general-conference/april-2010-general-conference/2010-04-2090-elder-jeffrey-r-holland-64k-por.mp3"
"Dallin H. Oaks","priesthood",2010,4,2,0,"Curar os Enfermos","/general-conference/2010/04/healing-the-sick","https://media2.ldscdn.org/assets/general-conference/april-2010-general-conference/2010-04-3010-elder-dallin-h-oaks-64k-por.mp3"
"Ronald A. Rasband","priesthood",2010,4,2,1,"O Divino Chamado de um Missionário","/general-conference/2010/04/the-divine-call-of-a-missionary","https://media2.ldscdn.org/assets/general-conference/april-2010-general-conference/2010-04-3020-elder-ronald-a-rasband-64k-por.mp3"
